"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Switzerland","CHE","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","5","10","15","25","40","60","90","130","170","200","220","250","272","270","271","252","254","1180","1070","1230","1230","1135","1235","1161","1161","1150","1150","1135","1100","1135","1135","1100","1205","1214","1214","1216","1216","1249","1261","1466","1471","1593","1593","1593","1733","1733","1843","2358.1","2358.1","2364","",
"Channel Islands","CHI","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","25","13","13","67","67","50","81","103","114","191","130","196","249","390","487","580","684","775","650","660","791","972","1024.6","1130.2","1091.1","882.24","973.13","1317.75","1769.2","1499.65","1377.2","1466.6","1378.2","1107.37","1145","",
"Chile","CHL","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","80","80","90","100","110","120","230","144","183","201","183","212","258","370","443","543","736","818","1093","1514","2088","2789","5316","1972","8611","7497","9941","13936","32349","51510","70464","105258","116281","135090","183747","206266","323115","375113","361430","305494","425058","631634","617303","607338","696157","739368","832329","806166","870845","881084","713241","969539","1075547","1045718","1227359","1057742","1050117","1219747.1","1287232.58","1407289","1505486","1443520","",
"China","CHN","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","958506","777762","741121","856931","1017083","1159540","1320775","1315911","1306208","1513849","1480670","1790968","1987611","1823366","1975622","2157727","2106125","2788044","2987334","2901626","3105342","3033775","3258008","3657489","4271240","5026016","5606227","6325967","7376299","8101298","8392965","9695110","12185159","15221669","18213586","21152498","23465787","23747399","25671893","28000956","29749708","31102502","33160273","34891716","37172411","38943267","40911091.49","42530160.3","44072886.73","46062875.71","47789756.78","49147606.1","52082585.66","55029057.76","57320503.73","59368941.59","62318377.86","64358480.81","66135059.34","68423858.99","70483538.48","72805297","",
"Cote d'Ivoire","CIV","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","60","213","229","170","168","100","253","306","351","117","386","1128","450","862","1000","1197","1025","806","866","866","866","866","1290","1290","1340","1700","3394","3720","3720","3750","4000","4392","4500","4700","5020","5420","5720","",
"Cameroon","CMR","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","11","22","40","57","89","120","282","130","124","137","167","138","106","74","57","50","50","57","58","67","67","67","50","150","330","385","395","402","435","546","546","546","570","571","840","1195","1575","1955","2315","3847","5500","6900","8500","9800","",
"Congo, Dem. Rep.","COD","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","81","180","689","723","759","760","700","700","730","700","650","600","600","1000","1833","1993","2076","2744","2965","2965","2965","3015","3020","3020.5","3025","3025","3025","3030","2929","2921","2921","3007","3226","3580","3880","4290","4690","5195","",
"Congo, Rep.","COG","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","48","47","61","91","121","177","243","240","243","191","234","121","139","106","99","140","190","66","64","68","69","72","80","21","25","215","243","285","335","405","465","520","579","643","692","640","731","900","911","",
"Colombia","COL","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","4","13","18","31","48","66","91","123","165","224","300","400","535","775","921","1171","1618","3314","5673","10455","12267","23987","23971","25652","36630","29990","43710","45933","52947","61786","57660","57160","60895","60072","61000","70132","66565","68200","80623","80367","83681","89654","89398","92002","95857","106685","118485","132756.22","171025.45","179350.99","192521.03","",
"Comoros","COM","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","22","28","",
"Costa Rica","CRI","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","9","13","19","27","41","58","79","185","106","106","270","399","410","573","1975","2244","3335","3910","6756","6986","7000","7937","9324","9708","10520","17892","20546","24708","24038","19962","25765","27059","24754.3","26839","27713.5","27287","30352","26765.5","23559.5","22212","21124","21955","22046","16268.95","17309.4","",
"Caribbean small states","CSS","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","38","25","20","32","135","162","382","1019","1692","2408","2901","3783","3647","3415","3669","4109","4334","4790","4792","5145","5484","8282","9134","10069","11649","14097","16902.5","17748.5","16602.74","9657.99","10919.13","11552.84","11978.8","6671.15","6936.98","8381.1","8640.17","5454.84","2662.84","2815.52","2712.08","2293.93","1837.44","1983.85","",
"Cuba","CUB","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","20","80","220","350","460","570","680","810","1040","1310","1320","1690","1990","2309","2977","3779","4145","4383","4637","4626","5578","5768","6036","8174","8261","10977","12774","16273","22276","36354","36367","39603","40166","32780","25569","27044","26897","27562","22635","27210","37526","36685","36002","31422","24597.8","26179.2","29577.7","31282.6","32056","29185","31210","28628","26922.2","25910","22664.6","",
"Curacao","CUW","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0.5","0.5","0.5","0","0","0","",
"Cayman Islands","CYM","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","",
"Cyprus","CYP","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41","31","31","31","31","31","31","36","46","50","60","56","57","50","58","83","125","127","155","259","291","452","787","969","1178","1422","1878","1883","1862","1821","3545","3620","3607","3200","3403","3698.5","4153.8","4666.98","4333.71","5339.1","4834.34","5458.54","6626.86","7275.11","7347.04","8079.18","7342.6","7862.3","",
"Czechia","CZE","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20242","18655","18679","18200","17560","17231","18775","19475","20098","19210","19670","19384","20455","20431","20447","20395","20071","20420","21010","20763","19357.4","20135","20200","20952","21685","21751","20986","20401","20991","",
"Germany","DEU","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","19810","16670","12520","12680","13830","14490","19950","20600","22160","19814","23477","20636","25103","29169","35783","39380","44071","36230","35893","25703","38789","35543","52616","70965","97785","61134","70235","66828","72005","66618","64435","74692","96654","69500","48852","64096","83237","65433","73020","79567","65891","53409","49852","74280","57233","44685","35379","44994","43977","38907","40694","39141","26360","25289","26032","29909","41801","35979","34196","40756","32258","32649","",
"Djibouti","DJI","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","3","3","4","4","5","5","5","7","12","13","13","18","19","24","24","24","24","11","6","6","6","6","6","6","0","0","0","0.1","1","",
