Country Name,Country Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Egypt,EGY,69907887,71371371,72854261,74393759,75963322,77522427,79075310,80629670,82218755,83844783,85501064,87252413,89200054,91240376,93377890,95592324,97723799,99784030,101789386,103740765,105618671
El Salvador,SLV,5923852,5958482,5988095,6011275,6026849,6035655,6037817,6034436,6044131,6068099,6091188,6114034,6137349,6161289,6185642,6209526,6231066,6250510,6266654,6276342,6280217
Equatorial Guinea,GNQ,655029,684977,719270,754115,789681,826355,864726,905418,948814,994971,1043686,1094524,1144588,1193636,1243941,1295183,1346973,1398927,1450694,1502091,1553031
Estonia,EST,1390244,1396985,1388115,1379350,1370720,1362550,1354775,1346810,1340680,1337090,1334515,1331475,1327439,1322696,1317997,1314545,1315407,1315790,1317384,1321977,1326898
Eswatini,SWZ,1018370,1030496,1041396,1050809,1058797,1065764,1071886,1077735,1084008,1089870,1094886,1099920,1105371,1111444,1118319,1125865,1133936,1142524,1151390,1160428,1169613
Ethiopia,ETH,65077579,67031867,69018932,71073215,73168838,75301026,77469940,79691050,81996185,84357105,86755585,89237791,91817929,94451280,97084366,99746766,102471895,105293228,108197950,111129438,114120594
Faroe Islands,FRO,45203,45660,46245,46813,47392,47989,48291,48313,48361,48411,48429,48410,48386,48392,48418,48465,48816,49500,50230,50955,51681
Fiji,FJI,823422,832509,841320,849891,858306,866694,874923,883083,890648,896731,901383,905169,908355,911059,913453,915560,917200,918371,919019,918996,918465
Finland,FIN,5165474,5176209,5188008,5200598,5213014,5228172,5246096,5266268,5288720,5313399,5338871,5363352,5388272,5413971,5438972,5461512,5479531,5495303,5508214,5515525,5521606
France,FRA,60504420,60921384,61367388,61816234,62256970,62716306,63188395,63628261,64021737,64379696,64710879,65030575,65345233,65662240,66002289,66312067,66548272,66724104,66918020,67158348,67388001
French Polynesia,PYF,246821,250927,255049,259137,263173,267132,271060,274901,278178,280558,282283,283788,285265,286584,288032,289873,291787,293541,295450,297606,299717
Gabon,GAB,1240764,1272935,1306590,1341696,1378398,1417110,1458353,1502534,1549774,1599978,1653542,1711105,1772500,1836705,1902226,1966855,2028517,2086206,2140215,2192012,2242785
Gambia,GMB,1396499,1437539,1479449,1522223,1566257,1612225,1660368,1711294,1764883,1820542,1878119,1937275,1998212,2061014,2124869,2189019,2253133,2317206,2381182,2444916,2508883
Georgia,GEO,4157192,4077131,4014373,3978515,3951736,3927340,3902469,3880347,3860158,3848449,3814419,3786695,3756441,3728874,3717668,3719414,3725276,3727505,3728004,3726549,3720161
Germany,DEU,82100243,82211508,82349925,82488495,82534176,82516260,82469422,82376451,82266372,82110097,81902307,81776930,80274983,80425823,80645605,80982500,81686611,82348669,82657002,82905782,83092962
Ghana,GHA,19176791,19665502,20195577,20758326,21329514,21906444,22496951,23098586,23708320,24326087,24950762,25574719,26205941,26858762,27525597,28196358,28870939,29554303,30222262,30870641,31522290
Greece,GRC,10761698,10805808,10862132,10902022,10928070,10955141,10987314,11020362,11048473,11077841,11107017,11121341,11104899,11045011,10965211,10892413,10820883,10775971,10754679,10732882,10721582
Grenada,GRD,106823,107432,107936,108231,108740,109516,110254,110988,111725,112478,113249,114039,114918,115912,116945,117972,118980,119966,120921,121838,122724
Guatemala,GTM,11311078,11589761,11871565,12147518,12415334,12682108,12948292,13213330,13477017,13739299,14000190,14259687,14521515,14781942,15043981,15306316,15567419,15827690,16087418,16346950,16604026
Guinea,GIN,8174897,8336967,8445717,8577790,8772254,8961039,9140114,9330625,9547082,9779785,10021323,10270728,10527712,10788692,11055430,11333365,11625998,11930985,12240789,12554864,12877539
Guinea-Bissau,GNB,1206474,1230849,1257380,1285678,1315653,1347009,1379713,1414091,1450572,1488431,1527196,1567220,1609017,1652717,1697753,1743309,1788919,1834552,1879826,1924955,1970457
Guyana,GUY,758014,759051,759809,760323,760562,760424,759709,758367,756521,754150,751258,747932,744230,743966,747420,751115,755031,759087,763252,785514,798753
Haiti,HTI,8208941,8360225,8511728,8661546,8812245,8961489,9111900,9266288,9420826,9575247,9730638,9842880,9954312,10108539,10261206,10412740,10563757,10713849,10863543,11012421,11160438
Honduras,HND,6477365,6656725,6837861,7019908,7201881,7383407,7564613,7745200,7924462,8101777,8277302,8450933,8622504,8792367,8960657,9127846,9294505,9460798,9626842,9792850,9958829
Hong Kong SAR,HKG,6606500,6665000,6714300,6744100,6730800,6783500,6813200,6857100,6916300,6957800,6972800,7024200,7071600,7150100,7178900,7229500,7291300,7336600,7393200,7452600,7507900
Hungary,HUN,10237530,10210971,10187576,10158608,10129552,10107146,10087065,10071370,10055780,10038188,10022650,10000023,9971727,9920362,9893082,9866468,9843028,9814023,9787966,9775564,9771141
Iceland,ISL,277381,281205,284968,287523,289521,292074,296734,303782,311566,317414,318499,318041,319014,320716,323764,327386,330815,335439,343400,352721,360563
India,IND,1040500054,1059633675,1078970907,1098313039,1117415123,1136264583,1154638713,1172373788,1189691809,1206734806,1223640160,1240613620,1257621191,1274487215,1291132063,1307246509,1322866505,1338636340,1354195680,1369003306,1383112050
Indonesia,IDN,210996910,214072421,217112437,220115092,223080121,225938595,228805144,231797427,234858289,237936543,240981299,244016173,247099697,250222695,253275918,256229761,259091970,261850182,264498852,267066843,269582878
Iran,IRN,64474745,65544383,66674851,67327117,67954699,69061674,70182594,71275760,72319418,73318394,74322685,75373855,76342971,77324451,78458928,79961672,81790841,83306231,84505076,85617562,86564202
Iraq,IRQ,23820734,24628858,25425663,26255343,27068823,27858948,28698684,28905607,28660887,29218381,30289040,31264875,32378061,33864447,35481800,36746488,37757813,38697943,39621162,40590700,41563520
Ireland,IRL,3754786,3805174,3866243,3931947,3996521,4070262,4159914,4273591,4398942,4489544,4535375,4560155,4580084,4599533,4623816,4657740,4701957,4755335,4807388,4867316,4934340
Israel,ISR,6125000,6289000,6439000,6570000,6689700,6809000,6930100,7053700,7180100,7308800,7485600,7623600,7765800,7910500,8059500,8215700,8380100,8546000,8713300,8882800,9054000
Italy,ITA,56916317,56942108,56974100,57059007,57313203,57685327,57969484,58143979,58438310,58826731,59095365,59277417,59379449,59539717,60233948,60789140,60730582,60627498,60536709,60421760,59729081
Jamaica,JAM,2596271,2612205,2625405,2638244,2651027,2664024,2676863,2689660,2701221,2711373,2722401,2733896,2746169,2759817,2773129,2784543,2794445,2802695,2808376,2811835,2813773
Japan,JPN,126631000,126843000,127149000,127445000,127718000,127761000,127773000,127854000,128001000,128063000,128047000,128070000,127833000,127629000,127445000,127276000,127141000,127076000,126972000,126811000,126633000
Jordan,JOR,4950775,5056174,5163310,5275532,5396117,5532423,5678534,6075548,6473457,6632873,6780493,6931258,7109980,7211863,7694814,8658026,9494246,9964656,10215381,10459865,10698683
Kazakhstan,KAZ,14928374,14883626,14858335,14858948,14909019,15012984,15147029,15308085,15484192,15776938,16092822,16321872,16557202,16792090,17035551,17288285,17542806,17794055,18037776,18276452,18513673
Kenya,KEN,29965129,30851606,31800343,32779823,33767122,34791836,35843010,36925253,38036793,39186895,40364444,41517895,42635144,43725806,44792368,45831863,46851488,47894670,48948137,49953304,50951450
Kiribati,KIR,87289,88826,90531,92400,94302,96224,98164,100083,101998,103966,105996,107995,109871,111618,113311,114985,116707,118513,120362,122261,124241
Korea,KOR,46616677,47008111,47370164,47644736,47892330,48082519,48184561,48438292,48683638,49054708,49307835,49554112,49936638,50199853,50428893,50746659,51014947,51217803,51361911,51585058,51764822
Kuwait,KWT,1877427,1934901,1991674,2047364,2101506,2153481,2235403,2363409,2506769,2650930,2795550,2943356,3143825,3394663,3646518,3761584,3908743,4048085,4124904,4317185,4441100
