Country Name,Country Code,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bosnia and Herzegovina,BIH,1128.398884,1332.210217,1382.76746,1602.564039,2031.402483,2451.577301,2741.080175,3170.174783,3936.931747,4846.790941,4542.311673,4506.932352,4980.904688,4688.345823,5025.241753,5196.970084,4654.60862,4917.263766,5327.392304,6024.49315,6094.724823
Botswana,BWA,3242.137335,3351.696517,3115.679,3029.788362,4111.738085,4818.213103,5240.316159,5142.913834,5372.340732,5345.848752,4938.249906,6041.732051,7080.778643,6392.987347,6436.603319,6844.03325,5869.737579,6411.551666,6705.341062,6947.817841,6691.161053
Brazil,BRA,3456.423303,3726.811669,3142.23514,2824.715413,3056.649798,3623.224462,4773.268551,5866.023414,7323.191594,8801.757876,8569.902547,11249.29189,13200.55623,12327.5131,12258.56571,12071.40446,8783.215424,8680.736469,9896.718895,9121.020995,8845.324149
Brunei Darussalam,BRN,14065.69952,17971.89229,16437.42204,16817.23887,18521.36613,21839.26362,25991.21401,30767.75383,32337.27437,37427.54006,27497.54687,34609.71198,46139.10758,46844.19734,43950.04546,41035.77712,30681.43397,26762.03504,28186.98674,31240.50179,30748.30924
Bulgaria,BGR,1659.718611,1621.262107,1770.907049,2092.982886,2719.494369,3389.687434,3899.825963,4523.146558,5888.776852,7271.303389,6988.273163,6863.667068,7857.16707,7430.73738,7687.713682,7912.274844,7078.860323,7570.931655,8381.881346,9447.655897,9874.336326
Burkina Faso,BFA,293.8874446,249.8020757,260.4434731,286.7537149,363.818352,405.4512764,442.9444306,457.3420749,516.7503285,621.8902718,603.8775456,627.2703957,727.6124745,733.9728796,762.3037801,767.3713441,632.1266858,665.7863286,711.1845434,779.2027686,765.2295604
Burundi,BDI,130.7530239,138.0046172,135.6064758,124.1393016,114.3670072,128.5384225,151.188541,166.2762452,170.7068765,194.7106346,204.5447556,222.6605832,236.4513475,238.2059453,241.5476657,257.8185574,289.3596272,242.5395273,244.1454222,232.0606166,216.9729709
Cabo Verde,CPV,1317.573685,1176.707258,1208.457609,1311.214581,1693.978552,1900.888465,1972.784926,2220.098175,3268.305696,3839.863636,3592.315879,3500.977468,3880.069205,3583.461725,3757.659953,3739.278279,3169.078901,3312.696745,3534.343575,3860.454808,3903.050317
Cambodia,KHM,295.5912853,301.5165985,322.8998639,341.0367658,364.2753017,410.0861329,475.0693943,539.7473654,629.9210766,742.3979723,734.8151187,782.6957386,880.3103044,950.4825446,1015.220881,1098.074538,1170.742816,1281.105971,1400.899265,1533.315985,1671.3854
Cameroon,CMR,786.8458881,700.1632362,706.9842175,780.2705532,976.5193035,1119.980862,1129.357979,1177.968605,1311.002964,1476.009079,1445.860249,1383.813865,1497.926585,1433.723928,1559.139049,1631.713985,1399.675336,1426.065481,1479.862222,1594.06011,1538.687912
Canada,CAN,22315.24667,24271.00206,23822.06012,24255.33858,28300.4631,32143.68141,36382.50792,40504.06073,44659.89514,46710.50558,40876.31015,47562.08343,52223.69611,52669.08996,52635.17496,50955.99832,43596.13554,42315.60371,45129.4293,46548.63841,46374.15275
Central African Republic,CAF,273.4279279,243.8775801,242.5757268,253.4106704,283.6753481,309.1902428,317.8776779,340.4145171,388.4777717,446.2287704,452.9222365,459.7769818,515.2095035,525.867504,352.2268549,394.856933,351.8797548,372.1354561,414.7403223,435.9322966,426.4087531
Chad,TCD,192.269472,168.1176582,200.3610081,225.947311,298.2498817,460.0670183,664.597656,716.6677684,806.7103188,936.4941371,808.1615235,896.8767046,988.19416,969.6161428,980.0835444,1017.787762,774.4116031,691.9800774,662.897473,720.2651014,701.621201
